monoNameIndex,pickupVolume
0,0.000000000000
1026,0.000003380915
1027,0.000023956602
2053,0.001824375824
1800,0.000100737270
1801,0.000100737270
10,0.000066670182
11,0.000086168111
1804,0.000005849708
1805,0.000005849708
270,0.000011730667
1807,0.000005849708
1808,0.000005849708
17,0.000023044084
18,0.000018468991
1811,0.000005849708
1300,0.000350927497
2070,0.267367690802
2071,0.018463646993
1049,0.000017285905
1051,0.000003656067
28,0.001631999738
1053,0.000003656067
1054,0.000003656067
2080,0.015840006992
545,0.000025761803
1315,0.000009374401
1316,0.000060479986
1062,0.000113805690
1064,0.000007461447
809,0.000000969029
42,0.000036252153
1323,0.000019556999
1836,0.000011397881
1325,0.000017795479
1326,0.000638921396
47,0.000015231533
2097,0.000001734733
2611,0.000882790133
52,0.000012656533
1333,0.000074510303
825,0.000001734733
60,0.000015626134
829,0.005419686902
830,0.000394636299
1855,0.000117974909
1857,0.000003868725
1859,0.000005880095
1860,0.000005880095
1862,0.000003467546
1863,0.000004188616
1864,0.000010049594
1865,0.000002292612
1866,0.000001852444
843,0.000336190860
2124,0.000598499959
1869,0.000011404341
1870,0.000003738695
1871,0.000010338999
592,0.134565874934
87,0.000021893873
856,0.000411599991
2139,0.001157833496
861,0.000694098300
1118,0.000129599997
97,0.002727274783
866,0.000115038900
100,0.007277759258
869,0.000007462660
102,0.000223911658
3421,0.000013138225
1331,0.000005918218
747,0.000008395038
878,0.000000893025
906,0.000003720403
1457,0.000002972005
996,0.000085855136
3450,0.000003228374
232,0.000115038900
3299,0.000000000000
3302,0.000000000000
3301,0.000000000000
631,0.000000000000
2936,0.000000000000
3300,0.000000000000
1146,0.000021961803
1147,0.000012001470
1148,0.000010101325
1149,0.000010101325
894,0.000516799977
271,0.000419999968
3260,0.134733393788
1153,0.000410009670
386,0.000450000545
2712,0.000225152777
132,0.000075283395
389,0.000993600348
1414,0.000032572640
903,0.000062369996
904,0.000710915774
993,0.000196016845
1162,0.000289698859
1163,0.000415799906
1164,0.000000653569
1933,0.000166524740
398,0.001708607771
3261,0.009322105907
1936,0.000015462527
1937,0.000015462527
1170,0.000004707309
1939,0.000047798974
300,0.000817960303
793,0.006246371660
918,0.000040145660
2711,0.443833112717
2968,0.000009878592
2969,0.000006606635
2970,0.000002527202
2971,0.000008885531
2972,0.000046843008
2973,0.000118638207
2974,0.000133287656
2975,0.000133287656
2976,0.000000000000
2067,0.316800564528
1052,0.000003656067
419,0.000001896425
420,0.000003195482
1934,0.162855103612
1715,0.019072178751
1928,0.000196859284
388,0.004968001042
835,0.000632739335
1073,0.000246700889
1195,0.037829037756
428,0.000013962808
1197,0.005753472447
1198,0.001436431776
1867,0.000004655254
846,0.000522097398
1713,0.012300337665
178,0.000007729104
179,0.000008537140
1868,0.000000870872
1259,0.000000080000
3254,0.000111999994
1975,0.000633877527
2744,0.020216755569
2745,0.000275359460
1809,0.000005849708
1806,0.000005849708
1212,0.001845070976
1981,0.013379593380
1982,0.000071330651
1803,0.000005849708
2240,0.000003414213
2241,0.000001435837
194,0.000073672709
2243,0.000001240266
2244,0.003378954483
2245,0.000018504519
1810,0.000005849708
2247,0.031142020598
1071,0.000005972346
2249,0.000016025273
1230,0.000285768969
2020,0.037133984268
1996,0.000038231192
1931,0.079380556941
974,0.017511852086
1812,0.083581805229
720,0.005616662093
1003,0.000052092440
1714,0.004438885953
2003,0.000160853117
2004,0.000086214328
2005,0.000405155122
2006,0.000201640258
2007,0.000012018954
1320,0.000034719793
1772,0.000008322654
897,0.000621599960
49,0.000025424464
2012,0.005906309467
2013,0.000078646692
1246,0.000071999995
1976,0.000044027034
2500,0.000001927253
2017,0.139620825648
2066,0.000001734733
1251,0.000005892439
1252,0.000005892439
741,0.000013100373
2022,0.000379999954
808,0.000000969029
1768,0.000231116093
745,0.000003287039
746,0.000005851854
1771,0.000007675438
1260,0.000002911999
1773,0.000008322654
2030,0.000016480901
1980,0.001920011826
1332,0.000076288314
40,0.000035839992
301,0.000000455702
499,0.000000000000
1075,0.000001932000
1853,0.000001351799
1849,0.000025600000
1854,0.000001351799
2622,0.000381667254
997,0.000013880096
1938,0.000047798974
1770,0.000007675438
2044,0.000944165047
995,0.000021903930
1769,0.000007675438
892,0.000071004579
